TransactionID,Date,CustomerID,Gender,Age,ProductCategory,Quantity,PricePerUnit,TotalAmount
T0001,2024-01-03,C001,Male,28,Electronics,1,45000,45000
T0002,2024-01-03,C002,Female,35,Clothing,3,1200,3600
T0003,2024-01-04,C003,Female,22,Grocery,15,80,1200
T0004,2024-01-04,C001,Male,28,Electronics,2,1500,3000
T0005,2024-01-05,C004,Male,42,Furniture,1,18000,18000
T0006,2024-01-05,C005,Female,30,Clothing,2,1500,3000
T0007,2024-01-06,C006,Female,26,Beauty,4,600,2400
T0008,2024-01-06,C007,Male,33,Grocery,10,90,900
T0009,2024-01-07,C008,Male,39,Electronics,1,52000,52000
T0010,2024-01-07,C009,Female,24,Clothing,5,900,4500
T0011,2024-01-08,C010,Male,31,Sports,2,2500,5000
T0012,2024-01-08,C011,Female,29,Beauty,3,700,2100
T0013,2024-01-09,C012,Female,41,Furniture,1,22000,22000
T0014,2024-01-09,C002,Female,35,Grocery,8,95,760
T0015,2024-01-10,C003,Female,22,Clothing,2,1100,2200
T0016,2024-01-10,C004,Male,42,Electronics,1,38000,38000
T0017,2024-01-11,C005,Female,30,Home Decor,3,1600,4800
T0018,2024-01-11,C006,Female,26,Grocery,12,85,1020
T0019,2024-01-12,C007,Male,33,Sports,1,3200,3200
T0020,2024-01-12,C008,Male,39,Clothing,4,1300,5200
T0021,2024-01-13,C009,Female,24,Beauty,6,550,3300
T0022,2024-01-13,C010,Male,31,Electronics,1,41000,41000
T0023,2024-01-14,C011,Female,29,Home Decor,2,1900,3800
T0024,2024-01-14,C012,Female,41,Grocery,20,70,1400
T0025,2024-01-15,C001,Male,28,Clothing,1,1500,1500
T0026,2024-01-15,C002,Female,35,Furniture,1,25000,25000
T0027,2024-01-16,C003,Female,22,Beauty,2,800,1600
T0028,2024-01-16,C004,Male,42,Sports,1,2800,2800
T0029,2024-01-17,C005,Female,30,Grocery,18,75,1350
T0030,2024-01-17,C006,Female,26,Electronics,1,46000,46000
T0031,2024-01-18,C007,Male,33,Home Decor,4,1400,5600
T0032,2024-01-18,C008,Male,39,Clothing,3,1250,3750
T0033,2024-01-19,C009,Female,24,Grocery,9,85,765
T0034,2024-01-19,C010,Male,31,Furniture,1,19500,19500
T0035,2024-01-20,C011,Female,29,Electronics,1,50000,50000
T0036,2024-01-20,C012,Female,41,Beauty,5,650,3250
T0037,2024-01-21,C001,Male,28,Grocery,14,80,1120
T0038,2024-01-21,C002,Female,35,Clothing,4,1400,5600
T0039,2024-01-22,C003,Female,22,Home Decor,2,1700,3400
T0040,2024-01-22,C004,Male,42,Sports,3,2600,7800
T0041,2024-01-23,C005,Female,30,Furniture,1,23000,23000
T0042,2024-01-23,C006,Female,26,Clothing,2,1350,2700
T0043,2024-01-24,C007,Male,33,Electronics,1,37000,37000
T0044,2024-01-24,C008,Male,39,Beauty,4,720,2880
T0045,2024-01-25,C009,Female,24,Grocery,11,90,990
T0046,2024-01-25,C010,Male,31,Home Decor,3,1500,4500
T0047,2024-01-26,C011,Female,29,Clothing,5,1000,5000
T0048,2024-01-26,C012,Female,41,Sports,2,3000,6000
T0049,2024-01-27,C001,Male,28,Furniture,1,21000,21000
T0050,2024-01-27,C002,Female,35,Electronics,1,49000,49000
