ProductID,ProductName,Category,Price,StockQuantity,SupplierID,WarrantyMonths,Rating
2001,Product_2001,Accessories,19039.74,256,36,12,3.6
2002,Product_2002,Electronics,47560.36,278,3,12,4.9
2003,Product_2003,Electronics,36733.7,150,9,6,4.3
2004,Product_2004,Accessories,30133.59,283,8,12,2.5
2005,Product_2005,Wearables,8222.92,425,33,6,3.4
2006,Product_2006,Home Appliances,8221.73,105,6,6,4.2
2007,Product_2007,Home Appliances,3375.14,236,41,36,2.7
2008,Product_2008,Home Appliances,43375.72,388,39,12,3.9
2009,Product_2009,Accessories,30255.19,48,4,12,4
2010,Product_2010,Electronics,35549.59,311,13,24,2.5
2011,Product_2011,Accessories,1518.93,38,49,36,3.7
2012,Product_2012,Accessories,48510.54,455,2,24,4.3
2013,Product_2013,Audio,41705.91,486,5,36,3.5
2014,Product_2014,Electronics,11010.79,327,44,12,2
2015,Product_2015,Audio,9500.34,254,27,6,2
2016,Product_2016,Smart Devices,9578.52,245,32,6,3.1
2017,Product_2017,Electronics,15559.99,194,21,6,4.8
2018,Product_2018,Electronics,26475.44,281,8,6,2.7
2019,Product_2019,Electronics,21881.28,449,38,6,3.9
2020,Product_2020,Home Appliances,14915.84,245,8,24,2.7
2021,Product_2021,Home Appliances,30786.72,248,50,36,3
2022,Product_2022,Audio,7404.95,386,3,12,4.5
2023,Product_2023,Audio,14961.16,275,44,24,4.2
2024,Product_2024,Electronics,18634.91,423,3,36,2.3
2025,Product_2025,Audio,23075.46,418,22,6,3.3
2026,Product_2026,Home Appliances,39366.21,368,6,36,2.1
2027,Product_2027,Accessories,10383.85,349,2,36,3.4
2028,Product_2028,Accessories,25954.6,398,23,6,4
2029,Product_2029,Accessories,29824.52,74,44,6,2.4
2030,Product_2030,Audio,2799.3,487,2,6,2.9
2031,Product_2031,Smart Devices,30573.47,186,38,12,3.2
2032,Product_2032,Home Appliances,8940.94,12,17,6,4.8
2033,Product_2033,Smart Devices,3720.05,438,35,12,5
2034,Product_2034,Audio,47469.83,151,34,6,2.1
2035,Product_2035,Wearables,48298.79,385,23,12,4.3
2036,Product_2036,Electronics,40515.67,167,30,36,3.1
2037,Product_2037,Home Appliances,15578.38,333,8,24,3.2
2038,Product_2038,Accessories,5334.77,155,22,36,4.3
2039,Product_2039,Smart Devices,34369.53,455,44,36,4.8
2040,Product_2040,Wearables,22287.55,302,36,6,4.9
2041,Product_2041,Wearables,6540.89,162,5,12,3.7
2042,Product_2042,Home Appliances,25011.26,441,13,24,3.1
2043,Product_2043,Home Appliances,2202.23,202,29,6,4.4
2044,Product_2044,Wearables,45511.36,446,31,6,2.8
2045,Product_2045,Electronics,13309.61,472,47,6,3.7
2046,Product_2046,Electronics,33294.85,82,16,36,3.1
2047,Product_2047,Smart Devices,15929.7,408,42,12,4
2048,Product_2048,Electronics,26243.37,314,30,12,2.7
2049,Product_2049,Wearables,27562.16,386,16,24,2.6
2050,Product_2050,Wearables,9650.3,353,12,12,4.8
