CustomerID,LastPurchaseDate,InactiveDays,ChurnProbability,CustomerValue,PurchaseFrequency,ChurnStatus
CUST_8373,12/17/2023,60,0.18,48088.43,5,Churned
CUST_7303,12/2/2020,261,0.89,30332.16,9,Churned
CUST_6821,10/3/2022,311,0.44,28194.03,46,Churned
CUST_4698,6/1/2022,58,0.14,1219.44,40,At Risk
CUST_4044,10/2/2020,224,0.76,4507.01,14,Churned
CUST_7959,10/1/2021,363,0.79,29070,44,Churned
CUST_1121,3/7/2022,285,0.64,46843.9,42,At Risk
CUST_9161,9/25/2022,310,0.85,43401.22,30,At Risk
CUST_4878,8/12/2020,333,0.74,49137.66,26,Active
CUST_9220,3/11/2023,350,0.88,26627.78,45,At Risk
CUST_5411,10/14/2023,352,0.43,39502.58,29,Churned
CUST_7731,10/1/2022,323,0.75,42099.82,19,Churned
CUST_9948,9/13/2023,116,1,32577.57,47,Active
CUST_7012,2/8/2023,178,0.72,17268.12,8,Churned
CUST_1548,11/4/2023,278,0.11,23763.93,23,At Risk
CUST_1620,1/9/2023,350,0.52,42966.9,42,At Risk
CUST_8917,3/17/2023,312,0.59,15278.12,35,Churned
CUST_7038,8/20/2022,227,0.17,46225.28,31,Active
CUST_2854,9/1/2022,73,0.96,11875.41,35,Churned
CUST_8889,2/25/2023,57,0.18,37601.06,32,Churned
CUST_2311,11/16/2020,46,0.18,31712.68,5,Churned
CUST_3327,11/3/2022,156,0.92,37605.17,16,Churned
CUST_9624,4/24/2020,197,0.47,22148.7,17,At Risk
CUST_5578,3/12/2022,273,0.06,46665.73,32,Churned
CUST_8617,6/23/2021,105,0.6,31807.37,38,At Risk
CUST_9469,10/10/2022,260,0.6,14770.64,32,Churned
CUST_2281,4/25/2023,233,0.06,32103.53,20,At Risk
CUST_9574,2/12/2022,277,0.97,14697.38,48,Active
CUST_2449,6/17/2023,331,0.54,15034.8,2,At Risk
CUST_5017,10/17/2023,243,0.56,20280.13,20,Active
CUST_8740,12/23/2021,244,0.52,42695.31,47,Active
CUST_2279,8/5/2021,187,0.61,25264.74,18,Churned
CUST_9834,10/18/2021,98,0.26,34105.59,1,At Risk
CUST_6119,5/5/2020,114,0.29,19902.4,29,At Risk
CUST_1864,2/27/2020,296,0.51,13548.47,29,Churned
CUST_6628,4/24/2023,98,0.81,47754.69,19,Churned
CUST_9765,4/2/2020,128,0.05,30377.27,44,Churned
CUST_1176,9/19/2020,245,0.6,46730.59,40,Active
CUST_8681,1/20/2022,190,0.81,10568.94,6,Churned
CUST_8438,12/15/2021,123,0.16,7771.26,44,Churned
CUST_9399,4/10/2023,203,0.02,42863.23,39,At Risk
CUST_8687,2/25/2020,194,0.31,34205.4,46,Active
CUST_6431,7/4/2023,144,0.59,9735.64,8,Active
CUST_7897,11/29/2021,249,0.14,13833.31,24,Churned
CUST_6782,2/18/2022,60,0.43,40132.87,20,Churned
CUST_5827,7/18/2020,40,0.55,22966.5,14,At Risk
CUST_5738,5/26/2022,159,0.6,33691.76,5,Churned
CUST_3744,12/7/2021,134,0.27,16258.43,41,At Risk
CUST_1578,1/1/2022,56,0.4,19370.88,40,Churned
CUST_5981,4/23/2022,256,0.78,49540.27,34,Active
CUST_5267,12/20/2021,31,0.94,12757.05,16,Active
CUST_2006,4/25/2020,130,0.86,25569.59,45,Active
CUST_8752,9/16/2023,50,0.56,42297.92,7,Churned
CUST_3770,5/15/2021,87,0.41,12341.55,16,Churned
CUST_1845,5/22/2021,209,0.33,21053.08,7,At Risk
CUST_5780,4/25/2021,49,0.12,30947.02,27,Active
CUST_1447,8/20/2023,284,0.11,24318.81,14,At Risk
CUST_5699,10/1/2021,346,0.69,23245.36,14,Churned
CUST_8942,4/28/2023,67,0.26,18444.23,44,At Risk
CUST_2351,6/22/2020,177,0.25,29538.99,33,Churned
CUST_3077,11/10/2023,54,1,31406.45,33,Active
CUST_9283,5/14/2020,150,0.19,32837.83,44,Churned
CUST_2259,9/16/2021,55,0.15,3983.22,20,Active
CUST_5552,8/22/2020,198,0.1,31736.19,47,At Risk
CUST_5129,11/22/2021,352,0.58,47685.24,36,At Risk
CUST_3171,12/13/2020,254,0.63,27278.82,7,Churned
CUST_5603,2/10/2020,30,0.37,35905.72,32,Churned
CUST_5509,1/7/2023,336,0.54,28058.25,48,At Risk
CUST_5209,10/29/2021,290,0.79,42809.66,3,Active
CUST_1232,3/17/2020,42,0.82,46514.36,39,Active
CUST_2827,8/1/2022,77,0.96,9618.89,29,Churned
CUST_3860,9/9/2023,342,0.82,22124.57,24,Active
CUST_3476,5/15/2022,320,0.56,19922.91,22,At Risk
CUST_8317,3/9/2023,361,0.18,20558.15,6,At Risk
CUST_7058,11/20/2022,123,0.1,6713.45,48,Churned
CUST_3873,5/12/2022,290,0.05,40773.98,24,Churned
CUST_5280,6/30/2021,307,0.67,2270.43,40,Active
CUST_4869,2/11/2020,234,0.81,26647.22,23,At Risk
CUST_8944,11/26/2023,214,0.51,33262.98,38,At Risk
CUST_3962,8/19/2022,204,0.05,10769.74,10,Active
CUST_9640,4/19/2023,338,0.54,45339.58,16,Churned
CUST_1542,2/15/2020,98,0.94,42008.19,11,Churned
CUST_6617,10/10/2021,133,0.6,23818.64,32,Churned
CUST_2382,2/12/2022,275,0.81,20851.87,45,Churned
CUST_3376,3/14/2023,190,0.8,12210.11,6,Churned
CUST_3525,3/10/2022,229,0.93,36634.66,24,Churned
CUST_9125,10/22/2021,245,0.77,7021.32,33,Churned
CUST_7765,3/18/2023,241,0.75,34171.77,12,Churned
CUST_7277,7/19/2020,45,0.23,42201.62,27,Active
CUST_4898,9/27/2022,361,0.06,11809.34,38,At Risk
CUST_8211,7/23/2020,234,0.52,43388.16,18,At Risk
CUST_3740,11/15/2023,68,0.12,2149.5,45,At Risk
CUST_4454,10/14/2023,118,0.96,45682.98,39,Churned
CUST_6653,2/25/2021,285,0.29,6358.93,13,Churned
CUST_1890,11/19/2021,283,0.85,32465.08,40,Churned
CUST_5331,10/14/2022,245,0.39,12879.08,30,Churned
CUST_2900,10/26/2022,332,0.32,41909.34,49,Active
CUST_1860,9/28/2023,201,0.94,25858.87,41,Churned
CUST_3745,11/26/2021,166,0.36,7194.44,13,At Risk
CUST_8602,12/7/2020,207,0.39,28764.08,34,Churned
CUST_7533,6/13/2023,106,0.11,20690.19,36,Churned
CUST_8802,9/5/2021,217,0.67,33241.67,30,Active
CUST_5937,1/14/2022,44,0.29,44154.21,25,Active
CUST_8803,6/11/2022,321,0.59,20764.76,2,At Risk
CUST_9724,2/17/2021,348,0.59,14849.09,36,Churned
CUST_4828,10/14/2022,354,0.72,1218.5,18,Churned
CUST_7222,7/25/2023,243,0.75,28954.53,5,Active
CUST_7390,6/3/2020,237,0.51,20412.6,19,At Risk
CUST_8775,1/2/2023,198,0.33,19045.14,42,At Risk
CUST_5302,3/14/2021,359,0.84,9555.3,18,Active
CUST_3378,8/11/2021,309,0.31,21787.74,32,Active
CUST_9690,6/27/2021,334,0.51,49229.88,21,Churned
CUST_8122,4/7/2020,175,0.4,15238.83,10,At Risk
CUST_1194,8/31/2021,292,0.86,30185.37,37,At Risk
CUST_5731,3/20/2023,33,0.43,38936.1,49,Active
CUST_8353,4/3/2022,119,0.39,37583.31,22,Active
CUST_7258,4/7/2021,89,0.69,16774.33,13,Active
CUST_6172,7/3/2023,340,0.6,30737.57,17,At Risk
CUST_9687,7/7/2020,45,0.11,43627.6,9,Active
CUST_1672,3/30/2023,256,0.51,1264.65,24,At Risk
CUST_2595,7/13/2020,58,0.74,22068.85,44,Active
CUST_9704,4/27/2023,180,0.99,11601.53,14,At Risk
CUST_6797,11/20/2021,274,0.63,19737.3,46,Active
CUST_8074,7/13/2021,299,0.37,21091.49,8,At Risk
CUST_5466,5/17/2020,108,0.23,37460.21,37,Churned
CUST_6488,3/6/2023,318,0.87,5144.18,19,Churned
CUST_5429,12/23/2022,182,0.81,25872.9,28,At Risk
CUST_5375,8/31/2022,306,0.23,28427.64,46,Churned
CUST_2610,5/24/2022,308,0.2,24960.8,41,Churned
CUST_5183,3/5/2021,86,0.72,36727.73,30,Churned
CUST_7408,12/12/2021,215,0.31,19497.67,7,At Risk
CUST_8554,6/6/2020,122,0.31,47275.87,26,At Risk
CUST_4961,8/27/2023,305,0.15,24349.27,40,Churned
CUST_4193,9/10/2021,187,0.26,28775.09,46,At Risk
CUST_9518,10/30/2022,304,0.43,41363.78,46,Churned
CUST_6528,9/6/2021,210,0.73,14124.19,11,At Risk
CUST_3947,6/5/2022,106,0.34,4222.5,14,At Risk
CUST_6132,9/20/2023,180,0.33,35535.31,21,Churned
CUST_9972,1/10/2023,267,0.28,24409.09,8,At Risk
CUST_1173,10/3/2021,318,0.48,44876.96,3,Churned
CUST_1138,2/13/2021,260,0.18,49142.66,28,At Risk
CUST_2113,4/28/2022,47,0.49,20255.91,29,Active
CUST_1195,4/3/2022,102,0.7,21064.23,23,Active
CUST_7737,5/29/2021,218,0.03,20694.15,18,Churned
CUST_2600,7/3/2023,46,0.01,16565.43,35,Active
CUST_9605,11/21/2022,48,0.08,39193.51,13,At Risk
CUST_2702,7/17/2022,248,0.54,38070.29,12,Churned
CUST_8306,10/7/2023,355,0.85,24192.92,47,At Risk
CUST_6759,1/26/2023,149,0,2710.73,5,Active
CUST_4594,1/4/2021,130,0.94,15823.19,39,Churned
CUST_5641,2/8/2020,63,0.11,14969,11,Churned
CUST_5127,7/9/2023,113,0.84,40648.82,11,Churned
CUST_4163,12/11/2023,225,0.48,4834.99,47,Active
CUST_1557,11/23/2022,359,0.66,40380.93,42,Churned
CUST_1388,1/17/2021,231,0.51,33624.59,47,Active
CUST_2506,3/27/2023,40,0.48,36755.85,31,At Risk
CUST_1931,10/19/2022,247,0.83,21894.55,31,At Risk
CUST_4552,3/12/2021,282,0.76,34146.43,13,Active
CUST_2995,9/15/2023,251,0.48,30646.93,14,Churned
CUST_2965,8/15/2022,109,0.11,38564.52,49,Active
CUST_2415,7/2/2021,36,0.12,22615.11,45,Churned
CUST_3128,7/30/2023,301,0.8,23904.87,42,At Risk
CUST_7159,12/27/2022,256,0.53,32357.02,25,Active
CUST_4027,6/12/2023,45,0.48,5849.84,33,Churned
CUST_2816,6/7/2022,41,0.68,22094.1,33,At Risk
CUST_4018,3/5/2023,320,0.86,48611.57,15,Active
CUST_5150,7/7/2023,270,0.63,2358.84,16,Active
CUST_5826,5/2/2020,50,0.76,16142.23,44,At Risk
CUST_8650,12/5/2022,207,0.77,16048.44,38,Churned
CUST_2240,2/14/2021,257,0.36,31856.47,6,At Risk
CUST_8429,1/16/2022,302,0.27,5737.12,44,Active
CUST_5528,8/5/2022,317,0.8,31612.93,25,Churned
CUST_7995,10/29/2020,326,0.38,5204.49,15,Active
CUST_6298,5/7/2021,163,0.9,5200.21,4,Active
CUST_5216,11/4/2020,312,0.07,36545.08,4,At Risk
CUST_3653,11/4/2023,182,0.06,16544.69,30,At Risk
CUST_2212,9/6/2021,95,0.93,48882.44,34,At Risk
CUST_5543,6/10/2022,166,0.65,2348.97,27,At Risk
