Customer_ID,Tenure_Months,Monthly_Charges,Total_Charges,Internet_Service,Contract,Online_Security,Tech_Support,Paperless_Billing,Payment_Method,Customer_Service_Calls,Churn,Age_Group,Avg_Monthly_to_Total
1001,52,68.91,7003.73,No,Month-to-month,Yes,No,Yes,Mailed check,3.0,No,4-6yr,0.98
1002,15,30.86,4819.56,DSL,One year,No,nan,Yes,Mailed check,4.0,Yes,1-2yr,0.64
1003,72,121.03,4844.08,DSL,Month-to-month,Yes,No,Yes,Bank transfer,,No,4-6yr,2.5
1004,61,92.59,5353.79,DSL,Month-to-month,nan,No,No,Bank transfer,2.0,No,4-6yr,1.73
1005,21,75.15,1485.43,No,One year,No,No,No,Bank transfer,7.0,No,1-2yr,5.06
1006,24,137.83,7323.85,DSL,Two year,No,No,Yes,Electronic check,3.0,No,1-2yr,1.88
1007,3,34.46,3408.29,Fiber optic,Two year,No,nan,No,Electronic check,7.0,No,0-1yr,1.01
1008,22,84.04,3126.79,No,Two year,Yes,No,Yes,Mailed check,,No,1-2yr,2.69
1009,53,21.48,4199.45,DSL,One year,No,No,Yes,Electronic check,9.0,No,4-6yr,0.51
1010,2,80.93,471.03,DSL,One year,No,No,No,Bank transfer,2.0,Yes,0-1yr,17.18
1011,30,27.32,1413.64,Fiber optic,One year,No,No,No,Bank transfer,9.0,No,2-4yr,1.93
1012,38,35.45,5930.47,DSL,Two year,No,No,No,Electronic check,6.0,No,2-4yr,0.6
1013,2,35.28,754.11,Fiber optic,Month-to-month,nan,Yes,Yes,Credit card,8.0,Yes,0-1yr,4.68
1014,64,104.4,4864.9,DSL,One year,No,No,Yes,Mailed check,3.0,No,4-6yr,2.15
1015,60,116.99,2038.26,Fiber optic,Two year,No,No,No,Credit card,7.0,No,4-6yr,5.74
1016,21,95.84,3175.44,DSL,Month-to-month,No,nan,Yes,Mailed check,2.0,Yes,1-2yr,3.02
1017,33,145.08,2380.68,No,One year,No,No,Yes,Credit card,6.0,No,2-4yr,6.09
1018,58,68.73,2909.81,Fiber optic,One year,Yes,No,No,Electronic check,2.0,Yes,4-6yr,2.36
1019,22,57.14,5780.46,No,Month-to-month,No,No,Yes,Mailed check,6.0,No,1-2yr,0.99
1020,49,132.92,2447.26,DSL,Month-to-month,Yes,No,No,Mailed check,9.0,No,4-6yr,5.43
1021,59,49.07,4574.6,No,Month-to-month,No,nan,No,Mailed check,9.0,No,4-6yr,1.07
1022,42,145.22,3860.8,No,Month-to-month,No,No,Yes,Bank transfer,5.0,No,2-4yr,3.76
1023,60,21.58,5343.0,DSL,Month-to-month,Yes,No,Yes,Bank transfer,1.0,No,4-6yr,0.4
1024,15,146.08,7500.95,DSL,Two year,nan,Yes,No,Credit card,2.0,No,1-2yr,1.95
1025,62,25.61,5887.32,No,Month-to-month,nan,No,No,Electronic check,5.0,No,4-6yr,0.44
1026,62,135.85,1798.03,DSL,One year,No,No,No,Bank transfer,3.0,No,4-6yr,7.56
1027,47,88.6,346.35,Fiber optic,Month-to-month,No,No,No,Mailed check,5.0,Yes,2-4yr,25.58
