OrderID,Date,Region,Product,Quantity,UnitPrice,TotalAmount,CustomerID,SalesRep,PaymentMethod
1001,2024-10-01,North,Laptop,5.0,1200.0,6000,201,Alice,Credit Card
1002,2024-10-02,South,Phone,3.0,800.0,2400,202,,Debit Card
1003,2024-10-03,,Tablet,2.0,650.0,1300,203,Bob,Cash
1004,2024-10-04,West,Tablet,,700.0,2800,204,Charlie,
1005,2024-10-05,East,,8.0,1100.0,8800,205,Alice,UPI
1006,2024-10-06,South,Headphones,2.0,,400,206,Diana,Credit Card
1007,2024-10-07,,Charger,,200.0,1000,207,Bob,Cash
1008,2024-10-08,West,Laptop,4.0,1200.0,4800,208,,Debit Card
1009,2024-10-09,North,Phone,1.0,800.0,800,209,Alice,
1010,2024-10-10,East,Charger,5.0,250.0,1250,210,Diana,UPI
