ManagerID,ReportsCount,ManagementLevel,YearsManaging,TeamEfficiency,LeadershipScore
1390,1,L2,17,89.35,1.15
1575,2,L1,7,80.99,6.56
1333,17,L2,9,54.14,1.57
1543,5,L2,4,91.2,1.97
1224,6,L1,6,83.86,6.85
1132,24,L2,11,59.95,3.81
1350,7,L2,2,53.99,4.13
1379,21,L2,3,91.85,5.38
1166,15,L1,9,53.95,9.81
1767,19,L1,3,54.57,9.69
1058,16,L2,14,71.37,4.75
1548,13,L2,9,56.74,3.39
2054,5,L1,15,95.68,3.72
1642,3,L2,14,73.51,3.42
1511,3,L1,18,78.46,5.79
2166,19,L2,19,96.41,6.46
1179,14,L1,18,76.51,5.4
1242,16,L3,17,67.68,4.67
1252,22,L3,11,89.86,2.9
1072,17,L1,15,72.14,5.34
1323,4,L3,0,65.92,4.07
1908,13,L2,15,86.16,5.87
1871,8,L1,1,90.08,7.08
1746,19,L1,14,89.59,6.7
1904,5,L2,6,98.88,5.16
1467,2,L2,0,89.33,6
2062,15,L1,4,88.5,3.56
1495,2,L2,9,92.87,1.22
1095,11,L1,3,50.01,6.63
1157,13,L2,13,68.12,3.27
1943,23,L1,12,86.88,7.02
2014,10,L2,0,79.99,7.72
1411,3,L2,15,58.88,9.24
1740,5,L3,8,65.19,9.62
1573,3,L3,15,66.84,1.09
1487,6,L3,18,78.39,9.91
1592,13,L2,14,91.58,7.15
1123,10,L1,13,96.62,6.79
1734,19,L2,19,87.5,1.14
1663,8,L3,9,92.15,8.75
1969,18,L2,11,73.5,2.31
2001,3,L3,0,69.49,8.54
1897,24,L3,16,69.64,1.14
1500,24,L1,8,80.8,6.81
2083,17,L1,18,56.21,4.91
1303,8,L3,17,78.97,2.81
1986,10,L3,6,83.26,1.97
1078,2,L2,8,71.95,4.96
1564,12,L3,11,97.66,2.11
1354,23,L2,6,80.41,5.38
1202,6,L3,13,61,6.63
1277,2,L1,14,73.96,8.45
1251,21,L1,14,83.77,7.11
1804,23,L3,5,66.18,1.59
1737,24,L2,13,53.98,3.77
1846,3,L2,1,79.17,3.59
1197,17,L2,7,97.39,9.24
1349,7,L3,12,74.25,8.81
1360,21,L3,5,95.31,4.33
1404,5,L1,4,91.75,1.64
1337,23,L1,4,57.37,9.05
1484,1,L3,0,85.41,8.99
1677,8,L1,8,71.77,8.69
1443,12,L2,5,62.51,8.61
1403,14,L2,19,84.35,5.32
1553,16,L3,6,87.13,2.6
1710,10,L2,8,58.99,5.3
1995,15,L3,4,95.72,5.45
1981,21,L2,13,87.56,5.41
2022,24,L3,4,96.67,5.85
2015,15,L2,7,65.85,3.32
1558,10,L2,6,96.97,4.3
1201,21,L1,12,68.43,4.91
1053,7,L1,12,52.7,2.18
1477,3,L1,7,88.15,5.1
1124,2,L1,10,85.18,8.29
1449,6,L1,17,79.9,8.45
1613,21,L1,18,74.49,4.7
1641,9,L3,5,51.61,5.67
2071,10,L3,1,81.23,1.3
1164,4,L1,12,70.84,7.07
1725,3,L3,10,78.01,4.64
1203,9,L1,0,71.47,5.01
1394,24,L3,1,98.3,8.86
1301,22,L2,16,80.21,5.16
2147,17,L3,7,87.46,1.19
1644,14,L3,1,96.82,3.05
1682,10,L3,5,79.58,5.28
1786,13,L2,4,50.6,4.82
2031,12,L1,15,51.71,8.74
1032,1,L3,7,85.12,5.88
1285,22,L3,18,63.95,7.21
1231,19,L2,15,78.97,5.22
1905,19,L1,12,60.11,4.96
1288,6,L3,19,63.51,5.02
1037,13,L2,6,75.23,4.7
1361,19,L1,15,98.78,5.85
1160,13,L1,15,80.81,3.25
1538,22,L3,11,96.81,9.02
2152,21,L3,13,97.97,4
1372,4,L3,17,60.41,2.33
1796,24,L3,17,65.56,1.87
1131,2,L2,15,88.5,1.12
1910,15,L2,19,93.34,4.81
1341,12,L3,15,75.96,2.69
1949,7,L1,12,99.66,1.19
1643,20,L3,8,50.58,5.68
1636,18,L1,8,64.98,7.12
1701,23,L1,12,81.16,1.77
2038,13,L1,3,73.46,5.15
2041,17,L2,8,55.83,7.69
1195,4,L1,14,68.39,9.87
1627,14,L1,13,51.27,7
1805,20,L2,18,82.14,3.2
1287,13,L1,11,94.64,7.45
1431,3,L1,5,94.24,6.38
1322,18,L3,2,84.98,2.91
1375,14,L1,19,73.29,8.66
1248,15,L1,15,75.6,4.85
1583,3,L1,19,56.85,9.66
1758,1,L1,16,67.05,7.51
1716,24,L1,15,59.39,6.8
1158,17,L2,5,91.06,7.56
2065,3,L1,7,95.74,5.3
1297,14,L1,18,76.85,5.55
1226,3,L2,1,86.39,8.66
1109,13,L2,13,56.07,7.13
1596,15,L1,11,80.43,9.08
1118,18,L1,16,85.14,9.02
2188,14,L1,14,72.64,9.79
2180,21,L3,17,62.16,7.3
1532,3,L3,15,93.87,5.52
1622,19,L1,12,87.15,2.5
1004,8,L2,16,94.99,7.35
1452,4,L1,7,90.92,3.62
2137,4,L2,0,99.52,3.55
1193,19,L2,2,59.61,3.14
1363,11,L2,15,54.34,8.88
1462,1,L1,1,66.85,8.81
1214,8,L1,14,56.45,6.68
2128,15,L2,0,76.16,5.26
1505,1,L3,8,81.65,7.05
1237,7,L3,15,78.91,6.47
1925,21,L3,3,62.96,4.74
2163,20,L2,11,95.44,4.42
1700,20,L1,0,51.06,4.45
1602,24,L2,0,67.4,6.3
1261,11,L3,6,85.95,6.83
1340,14,L1,17,88.35,5.07
1530,22,L2,14,70.81,9.72
