OrderID,Date,Region,Product,Category,Quantity,UnitPrice,CustomerID,SalesRep,PaymentMethod,TotalAmount
1305,2024-07-13,North,Phone,Electronics,14,599,5060,Diana,Net Banking,8386
1500,2024-10-06,Central,Phone,Electronics,15,49,5199,Bob,Credit Card,735
1442,2024-11-13,West,Laptop,Accessories,2,1299,5008,Charlie,Cash,2598
1154,2024-11-22,North,Laptop,Accessories,10,19,5198,Eve,UPI,190
1414,2024-02-22,North,Keyboard,Electronics,4,299,5063,Alice,Net Banking,1196
1132,2024-12-24,North,Phone,Accessories,15,49,5178,Alice,UPI,735
1205,2024-07-05,North,Charger,Electronics,18,1299,5026,Charlie,UPI,23382
1416,2024-04-17,central,Mouse,Accessories,5,899,5124,Eve,Debit Card,4495
1326,2024-05-26,East,Mouse,Electronics,15,19,5082,Diana,Credit Card,285
1248,2024-11-03,East,Keyboard,Accessories,9,899,5131,Bob,UPI,8091
1466,2024-05-23,Central,Laptop,Electronics,5,1299,5101,Alice,Debit Card,6495
1354,2024-01-18,East,Mouse,Accessories,15,79,5001,Charlie,Credit Card,1185
1290,2024-06-01,South,Tablet,Accessories,16,1299,5025,Charlie,Debit Card,20784
1085,2024-12-03,West,Charger,Accessories,19,599,5044,Diana,Credit Card,11381
1011,2024-11-26,North,Keyboard,Electronics,17,49,5078,Bob,Debit Card,833
1325,2024-10-30,East,Phone,Accessories,14,599,5175,Eve,Cash,8386
1079,2024-09-08,Central,Tablet,Accessories,18,899,5138,Diana,Net Banking,16182
1031,2024-02-28,North,Headphones,Electronics,7,299,5147,Eve,UPI,2093
1185,2024-06-13,North,Mouse,Electronics,5,1299,5032,Alice,UPI,6495
1196,2024-04-22,South,Headphones,Accessories,18,299,5079,Alice,Debit Card,5382
1223,2024-07-21,East,Keyboard,Electronics,15,79,5147,Frank,Cash,1185
1210,2024-02-23,Central,Tablet,Electronics,8,599,5131,Alice,Credit Card,4792
1282,2024-03-15,Central,Keyboard,Electronics,14,1299,5162,Charlie,Credit Card,18186
1209,2024-08-07,West,Tablet,Accessories,1,79,5153,Alice,Credit Card,79
1125,2024-08-14,Central,Mouse,Electronics,14,49,5089,Eve,Cash,686
1251,2024-12-03,Central,Keyboard,Electronics,2,19,5027,Charlie,Cash,38
1077,2024-09-27,West,Keyboard,Electronics,18,899,5014,Eve,UPI,16182
1383,2024-02-05,North,Keyboard,Accessories,1,299,5098,Frank,Cash,299
1343,2024-06-29,West,Tablet,Accessories,7,19,5125,Bob,Debit Card,133
1324,2024-11-12,East,Laptop,Accessories,16,79,5051,Frank,Cash,1264
1245,2024-05-27,North,Headphones,Electronics,13,79,5130,Bob,Debit Card,1027
1332,2024-06-20,East,Tablet,Electronics,18,49,5128,Eve,UPI,882
1141,2024-08-18,South,Keyboard,Accessories,5,49,5061,Frank,Debit Card,245
1010,2024-08-02,,Keyboard,Accessories,9,49,5047,Bob,Net Banking,441
1073,2024-07-20,Central,Headphones,Accessories,13,49,5086,Charlie,Debit Card,637
1401,2024-05-04,West,Tablet,Electronics,7,1299,5154,Alice,Debit Card,9093
1488,2024-11-20,North,Phone,Electronics,1,299,5026,Diana,Credit Card,299
1226,2024-09-11,North,Mouse,Accessories,12,299,5011,Charlie,,3588
1074,2024-09-26,East,Charger,Accessories,8,599,5135,Charlie,Cash,4792
1178,2024-04-25,North,Mouse,Accessories,14,599,5059,Charlie,UPI,8386
1404,2024-02-27,North,Charger,Electronics,11,599,5176,Charlie,Net Banking,6589
1069,2024-07-09,North,Charger,Accessories,19,79,5152,Alice,Net Banking,1501
1156,2024-08-30,Central,Keyboard,Accessories,12,599,5065,Frank,UPI,7188
1056,2024-12-05,East,Tablet,Accessories,16,79,5070,Bob,Cash,1264
