Date,Product,Region,Quantity,UnitPrice,CustomerAge,Rating,Revenue,Month,Quarter
2024-04-12,Laptop,East,4,899,37,4.0,3596,4,2
2024-12-14,Charger,Central,1,599,46,3.5,599,12,4
2024-09-27,Headphones,Central,12,599,62,3.5,7188,9,3
2024-04-16,Monitor,South,1,49,63,5.0,49,4,2
2024-03-12,Monitor,West,10,299,27,4.0,2990,3,1
2024-07-07,Keyboard,South,14,599,60,4.0,8386,7,3
2024-01-21,Tablet,West,6,49,51,4.5,294,1,1
2024-04-12,Laptop,West,5,899,43,4.0,4495,4,2
2024-05-01,Laptop,Central,14,1299,58,4.0,18186,5,2
2024-08-02,Tablet,North,11,299,20,4.5,3289,8,3
2024-11-26,Mouse,North,4,399,23,4.0,1596,11,4
2024-03-28,Keyboard,East,13,79,22,4.0,1027,3,1
2024-04-09,Mouse,Central,11,79,22,4.0,869,4,2
2024-12-25,Mouse,West,3,899,64,4.0,2697,12,4
2024-05-31,Mouse,North,1,89,40,4.5,89,5,2
2024-05-10,Tablet,West,6,89,26,4.0,534,5,2
2024-05-29,Mouse,North,2,899,52,4.0,1798,5,2
2024-11-04,Monitor,North,8,599,37,4.5,4792,11,4
2024-09-14,Phone,North,10,299,59,5.0,2990,9,3
2024-12-09,Charger,Central,5,79,52,3.5,395,12,4
2024-10-20,Laptop,South,7,79,35,5.0,553,10,4
2024-07-10,Laptop,West,10,599,34,4.5,5990,7,3
2024-10-03,Charger,Central,12,79,41,3.5,948,10,4
2024-06-09,Tablet,Central,2,399,20,4.5,798,6,2
2024-11-09,Headphones,Central,13,299,49,4.5,3887,11,4
2024-01-22,Tablet,Central,8,149,52,4.0,1192,1,1
2024-09-09,Laptop,Central,2,79,55,3.5,158,9,3
2024-08-23,Laptop,East,4,899,30,4.0,3596,8,3
2024-12-10,Charger,West,1,399,64,3.5,399,12,4
2024-02-18,Mouse,Central,5,79,42,4.5,395,2,1
2024-02-28,Tablet,West,9,399,26,4.5,3591,2,1
2024-06-18,Speaker,East,1,49,21,5.0,49,6,2
2024-07-06,Charger,East,9,149,31,3.5,1341,7,3
2024-09-27,Monitor,West,11,19,54,4.0,209,9,3
2024-07-08,Laptop,North,8,899,51,5.0,7192,7,3
2024-06-23,Charger,South,6,899,28,5.0,5394,6,2
2024-02-20,Tablet,North,7,299,58,5.0,2093,2,1
2024-12-29,Laptop,North,3,399,20,4.0,1197,12,4
2024-02-24,Headphones,North,14,599,45,5.0,8386,2,1
2024-08-31,Charger,Central,1,899,46,4.0,899,8,3
2024-11-15,Keyboard,East,5,399,26,5.0,1995,11,4
2024-05-10,Laptop,North,14,399,20,4.0,5586,5,2
2024-11-02,Tablet,East,12,1299,42,4.5,15588,11,4
2024-05-14,Phone,West,12,1299,51,4.5,15588,5,2
2024-01-21,Speaker,South,2,19,29,4.5,38,1,1
2024-11-24,Webcam,West,14,49,59,4.5,686,11,4
2024-06-15,Mouse,West,5,19,26,4.5,95,6,2
2024-09-30,Webcam,Central,8,79,32,5.0,632,9,3
2024-03-29,Tablet,South,11,599,57,5.0,6589,3,1
2024-11-11,Monitor,West,9,79,42,5.0,711,11,4
2024-01-14,Monitor,West,2,89,22,4.0,178,1,1
2024-08-29,Phone,South,12,79,28,4.0,948,8,3
2024-09-21,Mouse,South,3,299,51,4.0,897,9,3
2024-12-11,Keyboard,West,3,79,41,4.0,237,12,4
2024-02-22,Phone,South,1,19,32,4.5,19,2,1
2024-12-05,Webcam,West,8,899,55,4.5,7192,12,4
2024-04-01,Phone,West,6,899,25,4.5,5394,4,2
2024-09-20,Webcam,Central,12,1299,22,3.5,15588,9,3
2024-02-04,Laptop,North,13,599,43,5.0,7787,2,1
2024-07-24,Monitor,West,8,599,35,4.0,4792,7,3
2024-03-21,Laptop,East,11,299,23,4.0,3289,3,1
2024-02-19,Speaker,North,9,19,54,4.5,171,2,1
2024-12-25,Mouse,North,5,1299,30,4.0,6495,12,4
2024-01-02,Keyboard,North,14,89,45,4.0,1246,1,1
2024-02-23,Webcam,Central,12,599,22,5.0,7188,2,1
2024-04-15,Keyboard,West,14,899,30,4.5,12586,4,2
2024-09-16,Webcam,Central,3,79,34,5.0,237,9,3
2024-11-05,Tablet,West,5,79,57,3.5,395,11,4
2024-07-09,Phone,Central,5,1299,62,3.5,6495,7,3
2024-08-05,Speaker,Central,5,19,49,3.5,95,8,3
2024-02-13,Monitor,East,3,19,46,4.5,57,2,1
2024-06-10,Webcam,Central,11,49,20,4.0,539,6,2
2024-07-20,Keyboard,South,14,149,57,4.5,2086,7,3
2024-09-26,Speaker,East,10,599,51,4.5,5990,9,3
2024-12-16,Headphones,Central,14,19,57,4.0,266,12,4
2024-10-30,Headphones,North,4,899,44,5.0,3596,10,4
2024-09-27,Laptop,South,9,1299,30,3.5,11691,9,3
2024-08-02,Monitor,South,13,89,62,5.0,1157,8,3
2024-09-08,Tablet,South,10,49,50,3.5,490,9,3
2024-07-08,Keyboard,East,9,399,23,4.5,3591,7,3
2024-10-22,Phone,Central,2,299,41,3.5,598,10,4
2024-07-31,Phone,Central,8,89,36,4.5,712,7,3
2024-07-26,Keyboard,North,8,399,33,5.0,3192,7,3
2024-08-24,Mouse,North,7,79,57,4.5,553,8,3
2024-12-03,Tablet,South,8,299,45,5.0,2392,12,4
2024-02-22,Speaker,North,14,599,50,4.0,8386,2,1
2024-10-06,Webcam,East,3,899,58,4.0,2697,10,4
2024-08-04,Mouse,Central,13,299,30,4.0,3887,8,3
2024-09-08,Webcam,South,6,149,60,4.5,894,9,3
2024-07-06,Webcam,North,1,399,62,4.0,399,7,3
2024-02-10,Mouse,East,7,599,42,3.5,4193,2,1
2024-06-05,Laptop,East,1,149,59,5.0,149,6,2
2024-01-15,Headphones,North,9,79,53,5.0,711,1,1
2024-10-27,Webcam,Central,1,149,44,3.5,149,10,4
2024-03-05,Mouse,North,1,49,55,4.5,49,3,1
2024-12-10,Mouse,South,7,49,24,4.5,343,12,4
2024-11-22,Charger,North,2,1299,22,5.0,2598,11,4
2024-01-09,Laptop,East,14,89,60,4.0,1246,1,1
2024-12-09,Monitor,North,5,89,62,4.5,445,12,4
2024-05-08,Charger,Central,8,599,48,4.5,4792,5,2
2024-05-15,Charger,West,8,79,40,3.5,632,5,2
2024-03-03,Keyboard,North,3,19,59,3.5,57,3,1
2024-05-18,Headphones,Central,7,49,27,4.0,343,5,2
2024-03-21,Mouse,Central,3,599,49,4.5,1797,3,1
2024-06-11,Headphones,East,6,19,60,4.5,114,6,2
2024-10-15,Tablet,Central,6,89,47,3.5,534,10,4
2024-09-17,Keyboard,Central,3,1299,56,4.5,3897,9,3
2024-08-18,Monitor,Central,7,149,48,5.0,1043,8,3
2024-02-10,Headphones,Central,3,49,35,3.5,147,2,1
2024-01-28,Phone,South,8,599,53,4.0,4792,1,1
2024-05-14,Webcam,South,10,299,19,3.5,2990,5,2
2024-07-19,Tablet,East,4,19,31,4.5,76,7,3
2024-11-23,Laptop,North,13,149,30,4.0,1937,11,4
2024-09-24,Monitor,Central,1,49,46,3.5,49,9,3
2024-02-02,Tablet,North,4,89,29,5.0,356,2,1
2024-02-17,Webcam,North,14,79,56,5.0,1106,2,1
2024-03-02,Keyboard,East,7,19,19,3.5,133,3,1
2024-08-03,Webcam,Central,11,89,49,5.0,979,8,3
2024-10-19,Charger,Central,4,49,30,5.0,196,10,4
2024-04-08,Webcam,West,13,19,63,5.0,247,4,2
2024-06-20,Charger,North,6,149,44,4.0,894,6,2
